item_id,model_id,subscription_info,serial_number,unit_remarks1, amount ,unit_remarks2,unit_remarks3
Sim Card,Singtel,97141735,96150254,N1062 SPPG Tunnel (Stn 1 - 12), $25.00 ,20 GB,Contract 27-Nov-20 to 26-May-21 (12 months)
Sim Card,Singtel,97141735,96194911,N1112 Bullion Park Ext (Stn 5), $23.36 ,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,97141735,96270351,N1012 DTL - Bugis (Expo Bound Stn 2), $25.00 ,20 GB,Contract 27-Nov-20 to 26-May-21 (12 months)
Sim Card,Singtel,97141735,96275206,PUB BKSR Package 1 & 2 - SPPG Upper Thomson & SPPG AMK, $25.00 ,20 GB,Contract 27-Nov-20 to 26-May-21 (12 months)
Sim Card,Singtel,97141735,96382339,CR116 AMK (Stn 5), $23.36 ,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,97141735,96384029,MSP Office (With Mr See - To check at which site), $25.00 ,20 GB,Contract 27-Nov-20 to 26-May-21 (12 months)
Sim Card,Singtel,97141735,96689727,CR116i AMK (Stn 4),,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,97141735,96795906,FMBE (CB - Stn 7),,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,97141735,97344149,FMBE (CB - Stn 4), $23.36 ,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,97141735,97506308,N1112 Bullion Park (Stn 1),,20 GB,Contract 13-Oct-21 to 12-Oct-22 (12 months)
Sim Card,Singtel,87569465,67479766,MSP Office (Line 1), $135.31 ,- GB,
Sim Card,Singtel,87569465,65091092,MSP Office (Line 2), $1.85 ,- GB,
Sim Card,Singtel,87569465,80313741,The Legend (Liang Court) - FCN Concourse (Stn 2 Sensor),,40 GB,Contract 16-Dec-21 to 15-Dec-22 (12 months)
Sim Card,Singtel,87569465,80313780,CR102 - Semi Landslide site (Stn 5),,40 GB,Contract 16-Dec-21 to 15-Dec-22 
Sim Card,Singtel,87569465,80313849,Gombak Camp - Cashew MRT Stn 1 (Expo Bound),,40 GB,Contract 16-Dec-21 to 15-Dec-22 
Sim Card,Singtel,87569465,80315146,The Legend (Liang Court) - FCN Concourse (Stn 1 Sensor),,40 GB,Contract 16-Dec-21 to 15-Dec-22 
Sim Card,Singtel,87569465,87993345,PUB Amber Road (Tanjong Katong MRT Stn 4) (CB),,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,90121589,CCK Town N1 (Stn 2),,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,90129514,CR105 (Stn 9) ,,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,96154398,Marina Bay Sands,,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,97234240,N1112 Bullion Park Ext (Stn 2), $23.36 ,20 GB,Contract 07-Jul-21 to 06-Jul-22 (12 months)
Sim Card,Singtel,87569465,97826814,Gombak Camp - Cashew MRT Stn 2 (BB Bound),,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,98209774,N1102 - AMK Ave 9 (Stn 1),,40 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,87569465,98240662,East Spring Sec Sch - Tampines East MRT Stn (BB Bound - Stn 1),,60 GB,Contract 27-Mar-24 to 26-Mar-25 (12 months)
Sim Card,Singtel,21448125,87450793,N1062 PIE - Thomson Viaduct (AMMS Stn 17), $18.60 ,2 GB,Contract 06-Feb-18 to 06-May-18 (3 months)
Sim Card,Singtel,21448125,90186414,N1072 CCL - Caldecott (OB Stn 8), $68.69 ,3 GB,Contract 15-Mar-18 to 15-Mar-19 (12 months)
Sim Card,Singtel,21448125,91795367,N1082 (OB Stn 11), $23.36 ,20 GB,Contract 13-Jul-20 to 12-Jul-21 (12 months)
Sim Card,Singtel,21448125,92984726,N1072 CCL - Caldecott (OB  Stn 3), $23.36 ,20 GB,Contract 13-Jul-20 to 12-Jul-21 (12 months)
Sim Card,Singtel,21448125,96274973,N1072 CCL - Caldecott (IB Stn 1 - 3), $23.36 ,20 GB,Contract 13-Jul-20 to 12-Jul-21 (12 months)
Sim Card,Singtel,21448125,97146562,MSP Office (To check at which site), $14.66 ,50 GB,Contract 02-May-11 to - (24 months)
Sim Card,Singtel,21448125,97230659,N1072 TEL - Caldecott (CB Stn 6 - 10), $23.36 ,20 GB,Contract 13-Jul-20 to 12-Jul-21 (12 months)
Sim Card,Singtel,21448125,98316525,N1072 CCL - Caldecott (OB Stn 7), $68.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,97111755,64580824,MSP Office (Fax Line), $0.08 ,- GB,
Sim Card,Singtel,97111755,80301478,CR105 (Stn 2), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,80301873,TWRP DTSS T08 (Stn 1 & 2), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,80301957,TWRP DTSS T08 (Stn 3 & 4), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,80302268,T308 - Siglap Canal (Marine Terrace Stn 1 - CB), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,80306345,Buona Vista CCL (OB - Stn 1 & 2), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,80308748,T308 - Siglap Canal (Marine Terrace Stn 1 - WB), $28.04 ,60 GB,Contract 04-Jan-24 to 03-Jan-25 (12 months)
Sim Card,Singtel,97111755,91121624,N1012 EWL - Bugis to Lavender (WB Stn 1), $23.36 ,20 GB,Contract 31-Aug-21 to 30-Aug-22 (12 months)
Sim Card,Singtel,97111755,92310603,CR116 AMK (Stn 6), $23.36 ,20 GB,Contract 03-Sept-21 to 02-Sept-22 (12 months)
Sim Card,Singtel,97111755,97372402,Office Internet, $23.36 ,20 GB,Contract 31-Aug-21 to 30-Aug-22 (12 months)
Sim Card,Singtel,97111755,98177804,CR116 AMK (Stn 2), $23.36 ,20 GB,Contract 31-Aug-21 to 30-Aug-22 (12 months)
Sim Card,Singtel,34206661,90313068,IWMF (Stn 1), $14.66 ,50 GB,Contract 16-Mar-12 to 16-Mar-14 (3 months)
Sim Card,Singtel,34206661,94412933,Orchard Boulevard MRT (Woodlands Bound - Stn 2), $18.60 ,2 GB,Contract 29-Nov-16 to 28-Feb-17 (3 months)
Sim Card,Singtel,34206661,94638107,N1012 EWL - Bugis to City Hall (WB Stn 2), $18.60 ,2 GB,Contract 29-Nov-16 to 28-Feb-17 (3 months)
Sim Card,Singtel,34206661,97300269,Gombak Camp - Cashew MRT Stn 3 (BB Bound), $18.60 ,60 GB,Contract 13-Sept-23 to 14-Sept-24 (12 months)
Sim Card,Singtel,34206661,97303499,Trimble GNSS Mobile (MSP), $18.60 ,60 GB,Contract 13-Sept-23 to 14-Sept-24 
Sim Card,Singtel,34206661,97303529,CR105 (Stn 1), $18.60 ,60 GB,Contract 13-Sept-23 to 14-Sept-24 
Sim Card,Singtel,34206661,97768642,MSP Office (With Mr See), $51.40 ,228 GB,Contract 15-Feb-24 to 15-Feb-25 (12 months)
Sim Card,Singtel,34206661,97768726,CR105 (Stn 7), $28.04 ,60 GB,Contract 15-Feb-24 to 15-Feb-25 (12 months)
Sim Card,Singtel,34206661,97768842,N1112 (Stn 2), $28.04 ,60 GB,Contract 15-Feb-24 to 15-Feb-25 (12 months)
Sim Card,Singtel,34206661,97773410,CR2112 AYE Stn 1, $28.04 ,60 GB,Contract 15-Feb-24 to 15-Feb-25 (12 months)
Sim Card,Singtel,34206661,97776384,PUB Amber Road (Tanjong Katong MRT Stn 2) (CB), $28.04 ,60 GB,Contract 15-Feb-24 to 15-Feb-25 (12 months)
Sim Card,Singtel,13593147,84282149,CR102 - Semi Landslide site (Stn 4), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,84282674,MSP Office (With Mr See - To check at which site), $18.69 ,3 GB,Contract 30-May-19 to 29-May-20 (12 months)
Sim Card,Singtel,13593147,88694791,DE160 (Expo Bound - Stn 2), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,90170414,N1072 CCL - Caldecott (IB Stn 4), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,90185956,DE160 (BB Bound - Stn 3), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,91101587,N1062 PIE - Thomson Viaduct (AMMS Stn 15), $18.60 ,2 GB,Contract 26-Jul-16 to 26-Jul-18 (24 months)
Sim Card,Singtel,13593147,92348504,J112 Jurong Pier Viaduct (Stn 3), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,93774693,N1072 TEL - Caldecott (CB Stn 1 - 5), $34.58 ,50 GB,Contract 17-Mar-10 to 17-Mar-12 (24 months)
Sim Card,Singtel,13593147,93774910,FMBE (WB - Stn 7), $34.58 ,50 GB,Contract 17-Mar-10 to 17-Mar-12 
Sim Card,Singtel,13593147,93775984,CR103 (Stn 1), $34.58 ,50 GB,Contract 17-Mar-10 to 17-Mar-12 
Sim Card,Singtel,13593147,94422995,N1112 (Stn 1), $34.58 ,50 GB,
Sim Card,Singtel,13593147,96520493,CR116i AMK (Stn 1), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,96540734,J112 Jurong Pier Viaduct (Stn 6), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,96576124,MSP Office (With Suriyati), $18.69 ,3 GB,Contract 11-Jul-19 to 10-Jul-20 (12 months)
Sim Card,Singtel,13593147,97135709,Tampines N9 C10-12 (Expo Bound - Stn 1), $34.58 ,50 GB,Contract 25-Aug-09 to 25-Aug-11 (24 months)
Sim Card,Singtel,13593147,97284539,MSP Office (With Suriyati), $24.14 ,3 GB,
Sim Card,Singtel,13593147,97394762,CR116 AMK (Stn 3), $23.84 ,3 GB,
Sim Card,Singtel,13593147,97812830,N1072 CCL - Caldecott (IB Stn 8), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,97814746,N1072 CCL - Caldecott (OB Stn 4), $18.69 ,3 GB,Contract 12-Apr-19 to 11-Apr-20 (12 months)
Sim Card,Singtel,13593147,97838092,N1062 PIE - Thomson Viaduct (AMMS Stn 16), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,97846968,FMBE (WB - Stn 9), $28.04 ,40 GB,Contract 17-Mar-22 to 16-Mar-23 (12 months)
Sim Card,Singtel,13593147,97849490,N1072 CCL - Caldecott (IB Stn 7), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,97859798,Central Boulevard (Expo Bound), $18.69 ,3 GB,Contract 09-May-19 to 08-May-20 (12 months)
Sim Card,Singtel,13593147,98154974,CR102 (Stn 2), $24.14 ,3 GB,
Sim Card,Singtel,13593147,98203942,T313 / C922 - Expo MRT Station (Expo Bound) , $28.04 ,40 GB,Contract 17-Mar-22 to 16-Mar-23 (12 months)
Sim Card,Singtel,13593147,98238734,N1012 EWL - Bugis to Lavender (EB Stn 1), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98247574,N1072 CCL - Caldecott (OB Stn 5), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98248587,N1062 PIE - Thomson Viaduct (AMMS Stn 14), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98251872,Kallang Whampoa HDB (NB - Stn 1), $28.04 ,40 GB,Contract 17-Mar-22 to 16-Mar-23 (12 months)
Sim Card,Singtel,13593147,98275351,N1062 TEL - T215 (Changi Bound Stn 1 - 2), $18.69 ,3 GB,Contract 25-Feb-19 to 24-Feb-20 (12 months)
Sim Card,Singtel,13593147,98294513,CR103 (Stn 2), $28.04 ,40 GB,Contract 17-Mar-22 to 16-Mar-23 (12 months)
Sim Card,Singtel,13593147,98310294,CR105 (Stn 8), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98353242,CR102 - Semi Landslide site (Stn 6), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98360310,MSP Office (With Suriyati), $28.04 ,40 GB,Contract 17-Mar-22 to 16-Mar-23 (12 months)
Sim Card,Singtel,13593147,98361210,N1072 CCL - Caldecott (IB Stn 6), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98367970,Tampines N9 C10-12 (BP Bound - Stn 4), $18.69 ,3 GB,Contract 09-May-19 to 08-May-20 (12 months)
Sim Card,Singtel,13593147,98377476,FMBE (WB - Stn 2), $18.69 ,3 GB,Contract 09-May-19 to 08-May-20 (12 months)
Sim Card,Singtel,13593147,98384197,N1072 CCL - Caldecott (OB  Stn 2), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,13593147,98398242,MSP Office (With Mr See - To check at which site), $18.69 ,3 GB,Contract 12-Apr-19 to 11-Apr-20 (12 months)
Sim Card,Singtel,13593147,98636878,The Legend (Liang Court) - Router, $18.69 ,3 GB,Contract 12-Apr-19 to 11-Apr-20 (12 months)
Sim Card,Singtel,14096257,96209947,J112 Jurong Pier Viaduct (Stn 2),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,96383094,Slim Barracks Rise - Buona Vista Mrt Stn CCL (IB - Stn 1 & 2),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,96606981,N1062 CCL - Caldecott (OB), $23.36 ,20 GB,Contract 13-Oct-21 to 06-Oct-22 (12 months)
Sim Card,Singtel,14096257,96607375,N1082 CCL (OB  Stn 1-7), $23.36 ,20 GB,Contract 13-Oct-21 to 06-Oct-22 (12 months)
Sim Card,Singtel,14096257,96710168,N1082 (IB Stn 1-4),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,97366119,FMBE (WB -  Stn 4), $23.36 ,20 GB,Contract 13-Oct-21 to 06-Oct-22 (12 months)
Sim Card,Singtel,14096257,97527482,30 Nassim Road - Napier Mrt Station (CB),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,97545510,N1062 TEL - T215 (Woodlands Bound Stn 3 - 5), $23.36 ,20 GB,Contract 13-Oct-21 to 06-Oct-22 (12 months)
Sim Card,Singtel,14096257,97571869,30 Nassim Road - Napier Mrt Station (WB),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,97598217,CR105 (Stn 6),,60 GB,Contract 23-Jan-24 to 23-Jan-25 (12 months)
Sim Card,Singtel,14096257,98268573,N1072 Bradell Height, $18.69 ,3 GB,Contract 13-Jan-20 to 13-Jan-21 (12 months)
Sim Card,Singtel,14096257,65096381,MSP Office, $40.00 ,- GB,
Sim Card,Singtel,48370648,84990846,MSP Office (With Lily), $10.00 ,- GB,Contract 01-Aug-18 to 01-Aug-19 (12 months)
Sim Card,Singtel,48370648,85220419,MSP Server (CRONOS Server), $264.50 ,12 GB,End on 06-Jul-24 (24 months)
Sim Card,Singtel,48370648,89079351,CR105 (Stn 4), $28.04 ,60 GB,Contract 29-Nov-23 to 30-Nov-24 (12 months)
Sim Card,Singtel,48370648,89079416,CR105 (Stn 5), $28.04 ,60 GB,Contract 29-Nov-23 to 30-Nov-24 (12 months)
Sim Card,Singtel,48370648,89381722,N112 - SPPG Mandai (Stn 1-18), $28.04 ,60 GB,Contract 29-Nov-23 to 30-Nov-24 (12 months)
Sim Card,Singtel,48370648,89382776,CR105 (Stn 3), $28.04 ,60 GB,Contract 29-Nov-23 to 30-Nov-24 (12 months)
Sim Card,Singtel,48370648,96520767,N1072 TEL - Caldecott (WB Stn 1 - 5), $18.69 ,3 GB,Contract 29-Nov-19 to 29-Nov-20 (12 months)
Sim Card,Singtel,48370648,98331418,N1012 DTL - Bugis (BB Bound Stn 1), $18.69 ,3 GB,Contract 29-Nov-19 to 29-Nov-20 (12 months)
Sim Card,Singtel,48370648,98398404,N1072 TEL - Caldecott (WB Stn 6 - 10), $18.69 ,3 GB,Contract 29-Nov-19 to 29-Nov-20 (12 months)
Sim Card,Singtel,58300185,90110371,PUB BKSR Package 4 (Lorong Chuan CCL - Stn 1 & 2) OT, $18.69 ,3gb + 3gb (12 mths),Contract 28-Mar-25 to 27-Mar-26 (12 months)
Sim Card,Singtel,58300185,90110649,PUB BKSR Package 4 (Lorong Chuan CCL - Stn 1 & 2) IT, $18.69 ,3gb + 3gb (12 mths),Contract 28-Mar-25 to 27-Mar-26 (12 months)
Sim Card,Singtel,58300185,90111574,Orchard Boulevard MRT (Changi Bound - Stn 2), $18.69 ,3gb + 3gb (12 mths),Contract 28-Mar-25 to 27-Mar-26 (12 months)
Sim Card,Singtel,58300185,90111586,Orchard Boulevard MRT (Changi Bound - Stn 1), $18.69 ,3gb + 3gb (12 mths),Contract 28-Mar-25 to 27-Mar-26 (12 months)
Sim Card,Singtel,58300185,93931497,J112 Jurong Pier Viaduct (Stn 5), $18.60 ,2 GB,Contract 31-Aug-17 to 30-Nov-17 (3 months)
Sim Card,Singtel,58300185,94416286,N1062 PIE - Thomson Viaduct (AMMS Stn 27), $18.60 ,2 GB,Contract 31-Aug-17 to 30-Nov-17 (3 months)
Sim Card,Singtel,58300185,94624354,N1062 CCL - Caldecott (IB), $18.60 ,2 GB,Contract 31-Aug-17 to 30-Nov-17 (3 months)
Sim Card,Singtel,58300185,97139290,Orchard Boulevard MRT (Woodlands Bound - Stn 1), $18.60 ,2 GB,Contract 31-Aug-17 to 30-Nov-17 (3 months)
Sim Card,Singtel,58300185,97816437,MSP Office (With Suriyati), $20.00 ,3 GB,Contract 24-Sept-19 to 24-Sept-20 (12 months)
Sim Card,Singtel,58300185,98249174,CR116i AMK (Stn 2), $20.00 ,40 GB,Contract 11-May-22 to 11-May-23 (12 months)
Sim Card,Singtel,58300185,98318354,CR116 AMK (Stn 8), $20.00 ,3 GB,Contract 24-Sept-19 to 24-Sept-20 (12 months)
Sim Card,Singtel,58300185,98380754,J112 Jurong Pier Viaduct (Stn 4 ), $20.00 ,40 GB,Contract 11-May-22 to 11-May-23 (12 months)
,,,,,,,
